[Wed Jun 01 14:35:53.215384 2016] [:error] [pid 24805] [client 127.0.0.1:52322] PHP   6. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/edit.php?post_type=acf
[Wed Jun 01 14:36:22.660524 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660555 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660568 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660577 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660585 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660590 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660595 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660600 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:36:22.660611 2016] [:error] [pid 24716] [client 127.0.0.1:52327] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post-new.php?post_type=acf&wp-post-new-reload=true
[Wed Jun 01 14:37:19.380570 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380601 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380623 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   1. {main}() /home/serg/site/kerama_gold/wp-admin/post.php:0, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380632 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   2. edit_post() /home/serg/site/kerama_gold/wp-admin/post.php:193, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380640 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   3. wp_update_post() /home/serg/site/kerama_gold/wp-admin/includes/post.php:369, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380647 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   4. wp_insert_post() /home/serg/site/kerama_gold/wp-includes/post.php:3602, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380654 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   5. do_action() /home/serg/site/kerama_gold/wp-includes/post.php:3529, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380661 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   6. call_user_func_array:{/home/serg/site/kerama_gold/wp-includes/plugin.php:525}() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:37:19.380668 2016] [:error] [pid 24799] [client 127.0.0.1:52331] PHP   7. pp_gallery_upload() /home/serg/site/kerama_gold/wp-includes/plugin.php:525, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850105 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP Warning:  Invalid argument supplied for foreach() in /home/serg/site/kerama_gold/wp-content/plugins/pp-gallery/index.php on line 136, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
[Wed Jun 01 14:43:23.850141 2016] [:error] [pid 24667] [client 127.0.0.1:52346] PHP Stack trace:, referer: http://kerama_gold.tes/wp-admin/post.php?post=27&action=edit
